figure_id,module,research_question,model_ids,source_tables,chart_type,x,y,interval,sample,figure_path,svg_path,title,subtitle,interpretation,limitation,root_readme,visual_qa_status
coverage_missingness_by_block,00_data_measurement_foundation,"What data, assets, units, timing, coverage, identity, and release-risk constraints govern later empirical claims?",table:feature_usage_matrix; table:measurement_risk_audit,tables/feature_usage_matrix.csv; tables/measurement_risk_audit.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/00_data_measurement_foundation/figures/coverage_missingness_by_block.png,research/00_data_measurement_foundation/figures/coverage_missingness_by_block.svg,Coverage Missingness By Block,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
data_governance_inventory,00_data_measurement_foundation,Which local provider and feature dispositions govern public claims?,table:provider_inventory; table:feature_usage_matrix,research/00_data_measurement_foundation/tables/provider_inventory.csv; research/00_data_measurement_foundation/tables/feature_usage_matrix.csv,governance_inventory_bar,see source table,see source table,shown where source model reports uncertainty,see source table,research/00_data_measurement_foundation/figures/data_governance_inventory.png,research/00_data_measurement_foundation/figures/data_governance_inventory.svg,Provider and feature dispositions define release and measurement boundaries.,counts,Provider and feature dispositions define release and measurement boundaries.,Release-risk labels are not legal permission.,False,pass_local_png_full_and_readme_width_svg_xml
01_common_factor_pca_loadings,01_cross_asset_dependence_regimes,"How do crypto and TradFi return dependence, common-factor share, lower-tail co-exceedance, and regimes vary across matched samples?",table:claims,research/01_cross_asset_dependence_regimes/tables/claims.csv,factor_decomposition,see source table,see source table,shown where source model reports uncertainty,see source table,research/01_cross_asset_dependence_regimes/figures/01_common_factor_pca_loadings.png,research/01_cross_asset_dependence_regimes/figures/01_common_factor_pca_loadings.svg,01 Common Factor Pca Loadings,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
cross_asset_dependence_regimes,01_cross_asset_dependence_regimes,How broad is realized crypto and macro dependence across matched assets?,table:pearson_correlation_matrix; table:pca_variance_share,research/01_cross_asset_dependence_regimes/tables/pearson_correlation_matrix.csv; research/01_cross_asset_dependence_regimes/tables/pca_variance_share.csv,clustered_correlation_heatmap,see source table,see source table,shown where source model reports uncertainty,see source table,research/01_cross_asset_dependence_regimes/figures/01_cross_asset_clustered_correlation.png,research/01_cross_asset_dependence_regimes/figures/01_cross_asset_clustered_correlation.svg,Common crypto dependence is broad on the matched selected-major panel.,daily return/change correlations,Common crypto dependence is broad on the matched selected-major panel.,Current-cohort selected-major daily data is survivorship-biased.,True,pass_local_png_full_and_readme_width_svg_xml
01_regime_correlation_difference,01_cross_asset_dependence_regimes,"How do crypto and TradFi return dependence, common-factor share, lower-tail co-exceedance, and regimes vary across matched samples?",table:claims,research/01_cross_asset_dependence_regimes/tables/claims.csv,correlation_heatmap,see source table,see source table,shown where source model reports uncertainty,see source table,research/01_cross_asset_dependence_regimes/figures/01_regime_correlation_difference.png,research/01_cross_asset_dependence_regimes/figures/01_regime_correlation_difference.svg,01 Regime Correlation Difference,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
02_macro_block_delta_heatmap,02_macro_tradfi_integration,"How do crypto exposures to equities, volatility, rates, the dollar, gold, and credit vary across calendars and periods?",table:claims,research/02_macro_tradfi_integration/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/02_macro_tradfi_integration/figures/02_macro_block_delta_heatmap.png,research/02_macro_tradfi_integration/figures/02_macro_block_delta_heatmap.svg,02 Macro Block Delta Heatmap,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
02_rolling_tradfi_beta,02_macro_tradfi_integration,"How do crypto exposures to equities, volatility, rates, the dollar, gold, and credit vary across calendars and periods?",table:claims,research/02_macro_tradfi_integration/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/02_macro_tradfi_integration/figures/02_rolling_tradfi_beta.png,research/02_macro_tradfi_integration/figures/02_rolling_tradfi_beta.svg,02 Rolling Tradfi Beta,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
tradfi_exposure_shift,02_macro_tradfi_integration,How did equity co-movement change across periods?,table:block_delta_r2; table:rolling_tradfi_exposures,research/02_macro_tradfi_integration/tables/block_delta_r2.csv; research/02_macro_tradfi_integration/tables/rolling_tradfi_exposures.csv,coefficient_and_block_contribution,see source table,see source table,shown where source model reports uncertainty,see source table,research/02_macro_tradfi_integration/figures/02_tradfi_exposure_shift.png,research/02_macro_tradfi_integration/figures/02_tradfi_exposure_shift.svg,Later-sample equity co-movement is higher for BTC and ETH.,delta R-squared and rolling exposure summaries,Later-sample equity co-movement is higher for BTC and ETH.,"Period comparison, not ETF-effect identification.",True,pass_local_png_full_and_readme_width_svg_xml
03_leverage_state_surface,03_derivatives_leverage_liquidations,"Where do leverage, funding, open-interest scaling, and liquidation stress appear in volatility and tail outcomes?",table:claims,research/03_derivatives_leverage_liquidations/tables/claims.csv,analytical_result,see source table,see source table,shown where source model reports uncertainty,see source table,research/03_derivatives_leverage_liquidations/figures/03_leverage_state_surface.png,research/03_derivatives_leverage_liquidations/figures/03_leverage_state_surface.svg,03 Leverage State Surface,derived analytical output,See module findings and interpretation.,See module limitations.,False,manual_review_required
leverage_tail_stress,03_derivatives_leverage_liquidations,Where do lagged leverage states show up in tail stress?,table:leverage_tail_risk_summary; table:tail_risk_models,research/03_derivatives_leverage_liquidations/tables/leverage_tail_risk_summary.csv; research/03_derivatives_leverage_liquidations/tables/tail_risk_models.csv,state_conditioned_tail_risk,see source table,see source table,shown where source model reports uncertainty,see source table,research/03_derivatives_leverage_liquidations/figures/03_leverage_tail_stress.png,research/03_derivatives_leverage_liquidations/figures/03_leverage_tail_stress.svg,Leverage states are stress diagnostics.,tail-day rates and volatility,Leverage states are stress diagnostics.,No liquidation initiation-cause claim.,True,pass_local_png_full_and_readme_width_svg_xml
