claim_id,module_id,claim_text,sample,method,uncertainty,evidence_grade,source_table,source_figure,limitation,status
data_foundation_inventory_01,00_data_foundation,The local inventory covers 584 raw files across 8 provider groups and 31 registered features.,Files currently present under data_local/raw and processed local panels.,"File-system inventory, feature-registry parse, and processed-panel column audit.","Licensing and source terms are classified as release risk, not legal permission.",A for local file inventory; B for release-risk classification.,tables/provider_inventory.csv; tables/raw_series_inventory.csv; tables/feature_inventory.csv,,Date detection and unit classification require manual review for unregistered columns.,accepted_qualified
data_foundation_usage_01,00_data_foundation,Every discovered registered feature or processed panel column has exactly one usage status; 25 are marked primary_analysis.,Union of feature registry entries and processed parquet panel columns.,"Deterministic status assignment using registration, coverage, model/table use, unit risk, and timing metadata.",Unregistered panel columns remain review debt until promoted or excluded by a module-specific decision.,B,tables/feature_usage_matrix.csv; tables/data_quality_flags.csv,,"Automated review produced 153 data-quality flags for release risk, missingness, or unit review.",accepted_qualified
returns_risk_01,01_returns_risk_regimes,BTC and ETH risk summaries are reported as descriptive return-distribution and drawdown statistics.,Daily log-return sample from local processed feature store.,"Descriptive moments, expected shortfall, drawdown, and fixed-date regime splits.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/returns_distribution_summary.csv; tables/returns_regime_risk_summary.csv,figures/returns_risk_distribution.png,No investability or strategy inference.,accepted_qualified
macro_exposure_01,02_macro_cross_asset_exposure,Contemporaneous TradFi exposure is evaluated on synchronized business-date and Friday panels.,Effective sample reported per model row.,"Same-support HAC OLS, drop-block delta R2, conventional partial R2, FDR, VIF, ridge, and rolling exposure diagnostics.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/block_delta_r2.csv; tables/conventional_partial_r2.csv; tables/rolling_tradfi_exposures.csv,figures/01_tradfi_exposure_shift.png,Period comparison is descriptive and not an ETF-effect estimate.,accepted_qualified
leverage_tail_01,03_derivatives_leverage_liquidations,Lagged leverage states are reported as stress diagnostics with visible tail-rate differences.,Daily BTC rows with available leverage-state fields.,"Descriptive leverage-state quintiles, lagged logit diagnostics, and fixed post-event windows.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/leverage_tail_risk_summary.csv; tables/tail_risk_models.csv; tables/liquidation_event_responses.csv,figures/03_leverage_tail_stress.png,"Liquidations are same-day stress signatures, not identified price-move causes.",accepted_qualified
etf_plumbing_01,04_etf_institutional_plumbing,"ETF flow intensity is a market-plumbing association grid, not a causal price-impact estimate.",ETF trading dates with local Farside flow data and lagged market-cap denominators.,"Correlation grid, absorption ratios, timing audit, and augmented exposure table.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/etf_flow_associations.csv; tables/etf_absorption_metrics.csv; tables/etf_data_timing_audit.csv,figures/02_etf_market_plumbing.png,Daily flow timestamps and simultaneity prevent causal interpretation.,accepted_qualified
liquidity_state_01,05_stablecoin_defi_liquidity,Stablecoin supply and DeFi TVL are endogenous liquidity-state proxies; raw USD TVL is valuation-sensitive.,Sunday-ended weekly crypto panel.,"Weekly correlations, regime summaries, and unit/valuation contamination audit.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/liquidity_associations.csv; tables/stablecoin_defi_liquidity_summary.csv; tables/valuation_contamination_audit.csv,figures/liquidity_state_correlations.png,No liquidity-shock or exogenous-flow language.,accepted_qualified
onchain_mvrv_01,06_onchain_valuation_holder_state,"Same-day MVRV is a mechanical valuation-state diagnostic, not an independent primary factor.",Daily BTC rows with MVRV and realized-cap fields.,"Same-interval identity audit, same-day HAC diagnostic, residual quantiles, and lagged state table.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/mvrv_mechanical_link_audit.csv; tables/mvrv_identity_points.csv,figures/measurement_mvrv_mechanics.png,Source conventions and realized-cap updates affect residual interpretation.,accepted_qualified
chain_fundamentals_01,07_chain_fundamentals,Chain fundamentals currently support coverage and panel-readiness review before public relationship claims.,Local Artemis/chain fundamentals coverage table.,Coverage inventory and explicit association-status table.,Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/chain_fundamental_panel_summary.csv; tables/chain_activity_associations.csv,figures/chain_panel_coverage.png,No chain-fundamental effect claim until panel specification and sensitivity checks are complete.,accepted_qualified
relative_risk_01,08_relative_major_asset_risk,Selected-major comparisons are matched-window descriptive risk summaries.,Selected major assets with local coverage and canonical identity mapping.,"Matched-window volatility, downside volatility, drawdown, positive-week share, beta, and coverage audit.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/selected_major_risk_metrics.csv; tables/selected_major_comparable_window_metrics.csv; tables/selected_major_betas.csv,figures/05_selected_major_asset_risk.png,"Short histories, especially HYPE, limit cross-asset comparability.",accepted_qualified
market_concentration_01,09_market_concentration_state,"Monthly point-in-time data supports concentration, turnover, and rank-persistence state analysis.",Monthly PIT top-200 snapshots with top-100 concentration state.,"HHI, top-share fields, entries, exits, and rank persistence.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/pit_market_structure_summary.csv; tables/pit_concentration.csv; tables/pit_turnover.csv,figures/market_concentration_state.png,No daily constituent-performance claim; visualization uses concentration and rank persistence only.,accepted_qualified
event_sensitivity_01,10_event_sensitivity,Registered event windows are descriptive and compared with empirical placebo windows.,Registered primary and exploratory events with BTC/ETH return windows.,"Fixed +1 through +10 windows, volatility-change summaries, and empirical placebo p-values.",Reported in source tables where model estimates are present; otherwise descriptive and coverage-bound.,B,tables/event_response_matrix.csv; tables/event_inference.csv; tables/event_atlas.csv,figures/appendix_event_response_matrix.png,"Event windows are sensitivity diagnostics, not causal identification.",accepted_qualified
