pair,lhs,rhs,corr_pre,corr_post,delta
btc_ret vs dxy_tv_ret,btc_ret,dxy_tv_ret,-0.0640896760121462,-0.007535997922214772,0.056553678089931426
eth_ret vs gld_ret,eth_ret,gld_ret,0.1269556698799074,0.07041803631631748,-0.056537633563589915
btc_ret vs defi_tvl_usd_ret,btc_ret,defi_tvl_usd_ret,0.03611758858828745,-0.01757592418657636,-0.05369351277486381
dxy_tv_ret vs stables_total_usd_ret,dxy_tv_ret,stables_total_usd_ret,0.009187350134610132,-0.03959864122961141,-0.04878599136422154
eth_ret vs dxy_tv_ret,eth_ret,dxy_tv_ret,-0.07451656727380776,-0.03108291048149193,0.043433656792315825
gld_ret vs defi_tvl_usd_ret,gld_ret,defi_tvl_usd_ret,-0.005275064502513135,0.034085534313887694,0.03936059881640083
spy_ret vs qqq_ret,spy_ret,qqq_ret,0.920495870896714,0.9594921240057953,0.03899625310908128
stables_total_usd_ret vs defi_tvl_usd_ret,stables_total_usd_ret,defi_tvl_usd_ret,0.16778319412606232,0.20595091375703783,0.03816771963097551
spy_ret vs gld_ret,spy_ret,gld_ret,0.12063919956824044,0.08697752974883734,-0.033661669819403106
gld_ret vs VIXCLS_d1,gld_ret,VIXCLS_d1,-0.07960708151474843,-0.04869615913398434,0.030910922380764094
qqq_ret vs gld_ret,qqq_ret,gld_ret,0.13098706590755416,0.10229270217042045,-0.028694363737133702
dxy_tv_ret vs defi_tvl_usd_ret,dxy_tv_ret,defi_tvl_usd_ret,-0.03194425963839362,-0.056303911777947115,-0.024359652139553496
VIXCLS_d1 vs stables_total_usd_ret,VIXCLS_d1,stables_total_usd_ret,-0.011519510016788003,0.012657689594037567,0.02417719961082557
eth_ret vs defi_tvl_usd_ret,eth_ret,defi_tvl_usd_ret,0.0632383007255905,0.04217253241833293,-0.021065768307257572
eth_ret vs stables_total_usd_ret,eth_ret,stables_total_usd_ret,0.009880454729558586,-0.00729996269538427,-0.017180417424942855
spy_ret vs stables_total_usd_ret,spy_ret,stables_total_usd_ret,0.002663541282429027,-0.008456160704139622,-0.011119701986568649
gld_ret vs stables_total_usd_ret,gld_ret,stables_total_usd_ret,-0.0013713385653902799,-0.010654398601084133,-0.009283060035693853
btc_ret vs stables_total_usd_ret,btc_ret,stables_total_usd_ret,0.013727241575878537,0.004713607725725443,-0.009013633850153094
qqq_ret vs stables_total_usd_ret,qqq_ret,stables_total_usd_ret,-0.014895534295218059,-0.00782429675864105,0.007071237536577008
btc_ret vs gld_ret,btc_ret,gld_ret,0.11150561881835978,0.10578378424152485,-0.005721834576834936
btc_ret vs eth_ret,btc_ret,eth_ret,0.8207915703328938,0.8256006953128052,0.004809124979911372
