date,asset_count,mean_return_1d,median_return_1d,p10_return_1d,p90_return_1d,dispersion_1d_p90_minus_p10,positive_share_1d,dispersion_30d_std,method_note
2023-01-01,22,0.008857827176814452,0.0073841535709398,-0.003456515843046004,0.01867063817152224,0.022127154014568245,0.6363636363636364,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-02,22,0.021876475295007938,0.016276337217594805,-0.0026582058078121968,0.054315147866527906,0.0569733536743401,0.8636363636363636,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-03,22,0.008387853140575557,-0.000494378978734944,-0.01328841588297186,0.020942612709619668,0.03423102859259153,0.45454545454545453,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-04,22,0.027892734078410628,0.018729969989269013,0.00019794731347533306,0.05788004666048762,0.05768209934701229,0.8636363636363636,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-05,22,-0.010621646134975389,-0.011431356019083905,-0.027516641779986473,0.0032219570405729167,0.03073859882055939,0.13636363636363635,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-06,22,0.014113968019960087,0.013921709049429354,-0.005423588162944647,0.035114910657123334,0.04053849882006798,0.8181818181818182,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-07,22,-0.0014781210284951546,-0.003660101986987796,-0.012180353570849333,0.011654251181161866,0.0238346047520112,0.36363636363636365,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-08,22,0.024509748397195573,0.020729016748559315,-1.4480861128507436e-05,0.05291881103164073,0.052933291892769234,0.8181818181818182,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-09,22,0.030065144001948773,0.0219567990790267,0.0003468208092485495,0.06760226468694958,0.06725544387770102,0.8636363636363636,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
2023-01-10,22,0.008284876503369298,0.00584140976659886,-0.009437026344280019,0.021949478772897955,0.03138650511717797,0.6818181818181818,,"Current-top50 exploratory ex-stablecoin cohort from DefiLlama daily OHLCV. Use for current-cohort diagnostics only; it is survivorship-biased, not point-in-time, and not the primary altseason backtest."
