source,snapshot_date,month,asset_key,token_id,coingecko_id,symbol,asset_name,price_usd,market_cap_usd,source_rank_full_market,rank_full_market,is_partial_month
defillama_monthly_universe,2020-01-31,2020-01,coingecko:bitcoin,bitcoin,coingecko:bitcoin,BTC,Bitcoin,9509.80513557522,172993102966.37723,1,1,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:ethereum,ethereum,coingecko:ethereum,ETH,Ethereum,184.72621843141044,20090242968.224342,2,2,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:ripple,ripple,coingecko:ripple,XRP,XRP,0.2427668656102078,10605406032.519274,3,3,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:bitcoin-cash,bitcoin-cash,coingecko:bitcoin-cash,BCH,Bitcoin Cash,393.0688269490808,7136754914.719655,4,4,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:bitcoin-cash-sv,bitcoin-cash-sv,coingecko:bitcoin-cash-sv,BSV,Bitcoin SV,298.274236680326,5438064096.025548,5,5,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:litecoin,litecoin,coingecko:litecoin,LTC,Litecoin,68.19062380635584,4362340214.874027,6,6,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:tether,tether,coingecko:tether,USDT,Tether,1.0000370084933987,4277899662.966756,7,7,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:eos,eos,coingecko:eos,EOS,EOS,4.3392602831577145,4158153680.0837455,8,8,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:binancecoin,binancecoin,coingecko:binancecoin,BNB,BNB,18.55578658552117,2847071752.4987006,9,9,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:cardano,cardano,coingecko:cardano,ADA,Cardano,0.0558440639127876,1733739134.7114882,10,10,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:ethereum-classic,ethereum-classic,coingecko:ethereum-classic,ETC,Ethereum Classic,12.24013012929602,1422687177.1881957,11,11,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:monero,monero,coingecko:monero,XMR,Monero,74.79884819158947,1303212760.7239995,12,12,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:tron,tron,coingecko:tron,TRX,TRON,0.019464766927791,1286455344.1942258,13,13,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:stellar,stellar,coingecko:stellar,XLM,Stellar,0.0628365286503551,1260565830.34583,14,14,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:tezos,tezos,coingecko:tezos,XTZ,Tezos,1.6749161303048092,1171709558.6662974,15,15,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:dash,dash,coingecko:dash,DASH,Dash,122.10258375149311,1136276650.2775054,16,16,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:chainlink,chainlink,coingecko:chainlink,LINK,Chainlink,2.910071295728357,1056105950.9917876,17,17,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:okb,okb,coingecko:okb,OKB,OKB,3.2107556891838853,917476692.9760884,18,18,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:leo-token,leo-token,coingecko:leo-token,LEO,LEO Token,0.8845587457185521,875681362.7028713,19,19,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:cosmos,cosmos,coingecko:cosmos,ATOM,Cosmos Hub,4.408786939577468,829561712.7708762,20,20,False
defillama_monthly_universe,2020-01-31,2020-01,coingecko:neo,neo,coingecko:neo,NEO,NEO,11.730462352102837,825211121.951121,21,21,False
