feature_id,clean_label,research_block,raw_source,raw_path_or_endpoint,raw_field,frequency,transformation,lag_days,scaling_denominator,first_valid_date,last_valid_date,missing_policy,mechanical_link_risk,valuation_contamination_risk,contemporaneous_endogeneity_risk,permitted_model_families,prohibited_uses,interpretation
btc_etf_flow_intensity_lag0,"BTC ETF flow intensity, t",etf_institutional,Farside,local-only provider input under data_local/raw,BTC ETF total,daily,flow / lagged market cap,0,prior-day BTC market cap,,,drop from model sample; report effective n,low,none_identified,medium,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Market-plumbing flow proxy.
btc_etf_flow_intensity_lag1,"BTC ETF flow intensity, t-1",etf_institutional,Farside,local-only provider input under data_local/raw,BTC ETF total,daily,flow / lagged market cap then lag one day,1,prior-day BTC market cap,,,drop from model sample; report effective n,low,none_identified,medium,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Lagged market-plumbing flow proxy.
btc_funding_z_lag1,"BTC funding z-score, t-1",leverage,CryptoQuant,local-only provider input under data_local/raw,BTC funding rates,daily,rolling z-score lagged one day,1,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Positioning stress proxy.
btc_mvrv_lag1,Lagged BTC MVRV,onchain_state,CryptoQuant,local-only provider input under data_local/raw,MVRV Ratio,daily,lagged level/percentile,1,,,,drop from model sample; report effective n,high,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Valuation-state conditioning variable.
btc_oi_growth_lag1,"BTC raw open-interest growth, t-1",leverage,CryptoQuant,local-only provider input under data_local/raw,BTC open interest,daily,log difference lagged one day,1,,,,drop from model sample; report effective n,medium,medium_if_usd_notional,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,"Raw leverage-state proxy; retained for audit, not preferred if OI is USD-valued."
btc_oi_to_mcap_growth_lag1,"BTC OI/market-cap growth, t-1",leverage,CryptoQuant,local-only provider input under data_local/raw,BTC open interest and market cap,daily,log difference of OI/market-cap ratio lagged one panel step,1,BTC market cap,,,drop from model sample; report effective n,low,medium_if_usd_notional,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Preferred lagged leverage-state proxy when OI is USD/notional-valued.
btc_realized_vol_30d,BTC 30-day realized volatility,target,CryptoQuant,local-only provider input under data_local/raw,BTC close,daily,rolling volatility,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Volatility outcome.
btc_ret,BTC log return,target,CryptoQuant,local-only provider input under data_local/raw,BTC price close,daily,log return,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Return outcome.
btc_total_liq_to_lag_mcap_bps,BTC liquidation / lagged market cap,leverage,CryptoQuant,local-only provider input under data_local/raw,BTC liquidations USD,daily,"liquidation USD / prior-day market cap, basis points",0,prior-day BTC market cap,,,drop from model sample; report effective n,low,none_identified,medium,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Same-day liquidation stress signature.
btc_total_liq_to_lag_oi_pct,BTC liquidation / lagged OI,leverage,CryptoQuant,local-only provider input under data_local/raw,BTC liquidations USD,daily,"liquidation USD / prior-day open interest, percent",0,prior-day open interest,,,drop from model sample; report effective n,low,medium_if_usd_notional,medium,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,Same-day liquidation stress signature.
d_log_market_cap,BTC d-log market cap,onchain_state,CryptoQuant,local-only provider input under data_local/raw,BTC market cap,daily,same-interval log difference,0,,,,drop from model sample; report effective n,low,none_identified,low,"descriptive, exposure, state conditioning",price forecasting; causal claims; same-day MVRV as primary BTC-return factor,MVRV identity component.
