date,btc_ret,d_log_mvrv,d_log_market_cap,d_log_realized_cap,identity_residual,btc_market_cap_usd,btc_realized_cap_usd,btc_mvrv,identity_convention_caveat
2020-01-01,,,,,,130490056323.494,100946260833.545,1.29266855,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-02,-0.033258384754907,-0.0331371613840169,-0.0331612054505896,-2.40445448582705e-05,-4.78285522298449e-10,126233809917.398,100943833655.828,1.25053513,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-03,0.052623218026774,0.0524823833843997,0.0527396829072621,0.0002573005948249,1.07196251875052e-09,133070026481.706,100969809905.981,1.31791896,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-04,0.001511650297127,0.0016639297392603,0.0016274125939546,-3.65204934773544e-05,-3.34817162883638e-09,133286762630.415,100966122506.03,1.32011371,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-05,0.0011111133771244,0.0010167437947949,0.0012234175603609,0.0002066729877476,-7.77818254249496e-10,133449927785.587,100986991632.698,1.32145661,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-06,0.053533586222155,0.0532331503950674,0.0536265893416683,0.0003934396865794,7.39978578412348e-10,140801757241.924,101026731740.189,1.39370793,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-07,0.0495455130758326,0.048942936782009,0.0496667485998081,0.0007238118321808,1.4381773549843e-11,147971497781.053,101099882554.508,1.46361691,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-08,-0.0125560365279682,-0.0134256779503138,-0.0124582322150281,0.0009674449343464,-8.00939259359978e-10,146139470108.889,101197738451.212,1.44409818,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-09,-0.0294523001146114,-0.0300095680551137,-0.029344175493744,0.0006653974243313,4.86296164448063e-09,141913435839.083,101265097573.534,1.40140522,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-10,0.047071011623375,0.0468896998633368,0.0471736158980142,0.000283913370179,-2.66449834418481e-09,148768421808.21,101293852170.382,1.46868165,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-11,-0.0218232731628358,-0.0220657020042273,-0.0217110402746492,0.0003546574458113,-4.28376678573983e-09,145573314665.95,101329783160.488,1.43662909,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-12,0.0198605998700074,0.0196143340028494,0.0199645589761132,0.0003502293565915,4.38332775631878e-09,148508827296.174,101365278040.56,1.46508578,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-13,-0.0089792077934003,-0.0093560557235905,-0.0088807664172918,0.000475285688271,-3.61802765524999e-09,147195794090.332,101413466957.344,1.45144228,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-14,0.0807583814518224,0.0782748710115476,0.0808581897364213,0.002583320723545,1.99867133954257e-09,159592201791.601,101675789153.48,1.56961852,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-15,0.0022885453417664,0.0005402974323862,0.0023924730368989,0.001852173766192,-1.83832060685063e-09,159974478942.832,101864284892.351,1.57046681,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-16,-0.0106515624039413,-0.0115407553946824,-0.0105421402789787,0.0009986160772363,9.615326868051e-10,158296863908.298,101966059013.12,1.55244662,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-17,0.0208857393879764,0.0198054675906194,0.0209951495410471,0.0011896839912921,2.04086442190388e-09,161655464023.125,102087438588.536,1.58350005,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-18,0.0016262561521322,0.0012397994529965,0.0017170781294275,0.0004772760322495,-2.64418148487877e-09,161933277530.392,102136174105.389,1.58546449,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-19,-0.024219607885545,-0.0243293623319447,-0.024116411104714,0.0002129558339802,4.60674964841701e-09,158074742060.712,102157926915.637,1.5473566,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-20,-0.0079709278017556,-0.0079331831095765,-0.0078663659262332,6.68175639901847e-05,3.80646902886639e-10,156836146306.675,102164753087.508,1.5351297,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-21,0.0119961794037521,0.0117137583575341,0.0121014181461944,0.0003876575113608,-2.27729946011834e-09,158745616439.295,102204365699.005,1.55321757,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-22,-0.0084443088868422,-0.0086600846349719,-0.008337018041491,0.0003230687269812,2.13350037636673e-09,157427652947.578,102237390067.607,1.53982465,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-23,-0.0330020660224992,-0.0331441023118909,-0.0328927237358875,0.0002513761085864,-2.46741682641272e-09,152333665482.402,102263093335.333,1.48962505,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
2020-01-24,0.0061201687671452,0.0056950686818386,0.0062246860657921,0.0005296188817141,1.49776058222528e-09,153284852074.968,102317268145.2,1.49813277,"MVRV, market cap, and realized cap are provider-exported series; source timing/conventions can leave residuals even when intervals are aligned."
