module_id,claim_id,claim,disposition,evidence_grade,source_table,source_figure,limitation
00_data_measurement_foundation,data_measurement_inventory_01,The local inventory covers 584 raw series across 8 provider groups and 31 registered features.,accepted_qualified,A for local inventory; B for release-risk classification.,tables/provider_inventory.csv; tables/raw_file_inventory.csv; tables/feature_inventory.csv,figures/data_governance_inventory.png,Provider files remain local and untracked.
00_data_measurement_foundation,data_measurement_usage_01,Every registered or discovered processed feature receives one usage status; 25 are marked primary_analysis.,accepted_qualified,B,tables/feature_usage_matrix.csv; tables/measurement_risk_audit.csv,figures/coverage_missingness_by_block.png,145 measurement-risk rows constrain later modules.
01_cross_asset_dependence_regimes,cross_asset_dependence_01,Selected-major crypto returns share a strong common factor on the matched current-cohort daily panel.,accepted_qualified,B,tables/pca_common_factor_loadings.csv; tables/pca_variance_share.csv; tables/pearson_correlation_matrix.csv,figures/01_cross_asset_clustered_correlation.png,Current-cohort daily data is survivorship-biased and does not establish historical altseason behavior.
02_macro_tradfi_integration,macro_tradfi_01,Later-sample equity co-movement is higher in the synchronized BTC/ETH exposure tables.,accepted_qualified,B,tables/block_delta_r2.csv; tables/rolling_tradfi_exposures.csv; tables/ridge_stability.csv,figures/02_tradfi_exposure_shift.png,Period splits are descriptive and do not identify ETF effects.
03_derivatives_leverage_liquidations,derivatives_leverage_01,Lagged leverage/funding/OI states are associated with volatility and tail-stress diagnostics.,accepted_qualified,B,tables/leverage_tail_risk_summary.csv; tables/tail_risk_models.csv; tables/liquidation_event_responses.csv,figures/03_leverage_tail_stress.png,Liquidation observations are timing-sensitive and do not prove directional liquidation attribution.
04_etf_institutional_flows,etf_flows_01,ETF flow-return associations are reported as lag-response market-plumbing diagnostics with separate BTC and ETH source starts.,accepted_qualified,B,tables/etf_lag_response.csv; tables/etf_pre_inception_plot_audit.csv; tables/etf_flow_shock_placebo.csv,figures/04_etf_lag_response.png,Reported ETF flows have timing and simultaneity concerns; no causal price-impact claim.
05_stablecoin_defi_liquidity,stablecoin_defi_01,Stablecoin supply and DeFi TVL are endogenous liquidity-state proxies; raw USD TVL embeds valuation content.,accepted_qualified,B,tables/liquidity_associations.csv; tables/valuation_contamination_audit.csv; tables/stablecoin_defi_liquidity_summary.csv,figures/liquidity_state_correlations.png,No exogenous liquidity-shock language is supported.
06_onchain_valuation_holder_behavior,onchain_holder_01,"Same-day MVRV is measurement mechanics; lagged holder-state tables are diagnostics, not primary same-day factors.",accepted_qualified,B,tables/mvrv_mechanical_link_audit.csv; tables/mvrv_identity_points.csv; tables/mvrv_regime_outcomes.csv,figures/measurement_mvrv_mechanics.png,Realized-cap source conventions affect residual interpretation.
07_chain_fundamentals_sector_dynamics,chain_sector_01,Chain fundamentals and PIT state variables currently support coverage and state-model diagnostics before headline relationship claims.,accepted_qualified,B,tables/chain_fundamental_panel_summary.csv; tables/pit_state_relationship_coefficients.csv,figures/07_pit_state_coefficients.png,PIT state is monthly and cannot support daily constituent-performance claims.
08_relative_asset_risk_factor_structure,relative_factor_01,Selected-major risk separates into a common crypto factor and asset-specific residual risk on the matched current-cohort window.,accepted_qualified,B,tables/relative_factor_decomposition.csv; tables/downside_expected_shortfall.csv; tables/selected_major_betas.csv,figures/08_common_idiosyncratic_risk_decomposition.png,Short histories and current-cohort survivorship bias limit historical interpretation.
07_chain_fundamentals_sector_dynamics,demote_current_top50_daily_altseason,Current-top50 daily returns are historical altseason evidence.,demote,D,tables/asset_universe_audit.csv,,Current-cohort daily analysis is survivorship-biased; PIT monthly data supports structure/state analysis only.
04_etf_institutional_flows,demote_etf_causal_price_impact,ETF flows cause same-day crypto returns.,demote,D,tables/etf_lag_response.csv,figures/04_etf_lag_response.png,Flow timing and simultaneity prevent causal interpretation.
